charity_name,campaign_name,detailedStory
Singapore Red Cross Society,You're The Difference Between An Empty Stomach And a Filled One,"<p class=""ql-align-justify""><strong><em>“The monthly FoodAid worth $250 from the Singapore Red Cross benefit me and my family a lot because it enables us to have fresh food products, and my children can grow up healthily,” - Safri Bin Salleh</em></strong></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><img src=""https://deeda-1254024480.cos.ap-singapore.myqcloud.com/stage-deeda-care/b052a826-5c4e-11e9-ac65-34b354bc68ac/15579797332820-5657644438069633.jpeg""></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Dear Friend,</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">When life deals you a bad hand, it is easy to plunge into the depths of despair. But not for Safri Bin Salleh, 43.</p><p class=""ql-align-justify"">He used to be an avid weightlifter who was also actively involved in contact sports like soccer, rock-climbing, skydiving and touch rugby.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">His active life came crashing down after two falls, and a diagnosis of bone marrow cancer.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><strong class=""ql-size-large"">The Turning Point</strong></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">In April 2013, Safri dozed off after returning from his night shift. When his wife woke him up, he couldn’t move and was paralysed from below his neck.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">He was diagnosed with Multiple Myeloma Cancer Stage 3 (Bone marrow cancer).</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">“All my organs gave way. I had liver cirrhosis (scarring of the liver), heart ameroid, diabetes, high blood pressure, acute kidney injury, and chronic gout where my joints were inflamed and swollen, and the pain was excruciating. I had to go for dialysis and was bedridden. My doctor said if I did not go for any treatment, I only had six months to live,” he explained.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Yet, he did not let thoughts of fear or worry seep through his mind.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">“My wife was worried. But I told her not to worry as I will seek treatment. I was determined to get better,” said Safri.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Since then, his wife has been his full-time caregiver. His family relies on various financial assistance schemes from various organisations.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><strong class=""ql-size-large"">Focusing on His Diet</strong></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Safri’s cancer was a jolt out of the blue. It reminded him that he has to take care of himself before he can take care of his family. He decided to put in more effort in ensuring that he and his family have a balanced and healthy diet.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">“While I did not care for my body previously and instead abused it through the supplements I took, I decided to take better care of my health. While I did not care about what I ate before, now I take better care of my diet.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">The monthly FoodAid worth $250 from the Singapore Red Cross benefit me and my family a lot because it enables us to have fresh food products, and my children can grow up healthily,” he explained.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Safri hopes his life story will inspire others facing challenging times.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">“Everyone has problems. It is important to have a positive attitude. I see problems as challenges. Whenever there is a problem, there is always a solution. No matter how big your problem is, face the problem.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">I faced my problems one at a time; be it for my debt, or my medical condition. You can’t solve all the problems yourself. Ask for help.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">The world is not a bad place, good people come to help. Just as Red Cross did,” affirmed Safri.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Many of our FoodAid recipients are like Safri.</p><p class=""ql-align-justify""><br></p><p><strong class=""ql-size-large"">How You Can Help, and What Your Gift Will Do</strong></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">With your gift, you can help people like Safri and his children get rid of food worries, and they’ll be able to buy and enjoy healthier food as a beneficiary of FoodAid.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">If you divided the $250 worth of food vouchers that feeds a family of four each month, it means less than $9/day for their meals… Probably lower than the cost of a large-sized cup of premium coffee that many of us enjoy regularly.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">While you don’t have to give up the little treats in life, you’ll likely find it more enjoyable and satisfying to gift a mere $3/day to families like Safri’s.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">If you can encourage 2 or 3 of your friends to join you in monthly gifting together, then it means a family of four will not have food worries for each month that they receive your support.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">I’d like to ask you for your help with giving the gift of FoodAid to such families. Your gift of $3/day will help them with a meal for a month.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Together with 2 or 3 of your friends gifting $3 (or more, if you can, please) each per day, you can help a family with all their meals each month.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><strong>You can help support 40 families</strong></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">We’re looking to support 40 families for the next 1 month, and have set a modest goal of $10,000 for this.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">With your generous help and support, Singapore Red Cross and I hope to benefit 40 families, bring food to their tables, and get rid of their food worries for this month at least.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">On behalf of Safri and our beneficiaries, I thank you in advance for your generous gifts.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">Yours sincerely,</p><p class=""ql-align-justify"">Mr Benjamin William</p><p class=""ql-align-justify"">Secretary General/CEO, Singapore Red Cross</p><p class=""ql-align-justify""><br></p><h2><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">How Your Contribution Helps</strong></h2><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">﻿For the sake of transparency, as well as to help you realise the impact of your contribution, we’d like to share how your donation will help.</span></p><ul><li class=""ql-align-justify""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">S$25</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> will gift a family of four FoodAid vouchers to buy food for about</span><strong style=""background-color: transparent; color: rgb(0, 0, 0);""> 3 days</strong></li><li class=""ql-align-justify""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">S$50</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> will gift a family of four FoodAid vouchers to buy food for about</span><strong style=""background-color: transparent; color: rgb(0, 0, 0);""> 6 days</strong></li><li class=""ql-align-justify""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">S$100</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> will gift a family of four FoodAid vouchers to buy food for about</span><strong style=""background-color: transparent; color: rgb(0, 0, 0);""> 12 days</strong></li><li class=""ql-align-justify""><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">S$250</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);""> will gift a family of four FoodAid vouchers to buy food for </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">a full month</strong></li></ul><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Your generous donation will help provide a family with sustenance and security. In a first world country like Singapore, nobody should have to worry about where their next meal is coming from.</span></p><p class=""ql-align-justify""><span style=""background-color: transparent; color: rgb(0, 0, 0);"">﻿</span></p><p class=""ql-align-justify"">P.S. Please do leave us your best email address so that my colleagues and I can at least show our appreciation and thank you for your kind donation.</p>"
Singapore Red Cross Society,SCDF OPERATION LIONHEART PRESENTS: THE LIFE-SAVING FIGURINES,"<p><span style=""background-color: transparent;"">Superman, Batman, Spider-Man – every superhero gets immortalised with an action figure. This is why, for Singapore Red Cross’ </span><a href=""https://be%20our%20champion%20for%20humanity/"" target=""_blank"" style=""background-color: transparent; color: rgb(239, 88, 48);""><strong>B</strong></a><a href=""https://redcross.sg/news-and-stories/10-events/1471-be-our-champion-for-humanity-2024.html"" target=""_blank"" style=""color: rgb(239, 88, 48);""><strong>e Our Champion for Humanity</strong></a><span style=""background-color: transparent;"">, we are paying tribute to the real-life superheroes of </span><a href=""https://www.scdf.gov.sg/operation-lionheart-microsite/about-operation-lionheart"" target=""_blank"" style=""color: rgb(239, 88, 48);""><strong>Operation Lionheart</strong></a><span style=""background-color: transparent;""> by immortalising them with their own.</span></p><p><br></p><p><span style=""background-color: transparent;"">Introducing the world’s first action figures that take action: The Life-Saving Figurines.</span></p><p><br></p><p><span style=""background-color: transparent;"">Inspired by the unbreakable spirit of Operation Lionheart’s rescuers, the 20 Life-Saving Figurines – also known as “The Unbreakables” – will save lives by using their proceeds to aid disaster victims.</span></p><p><br></p><p>Each Life-Saving Figurine is the only one of its kind in the world – and you can own one by donating S$5,000 to Singapore Red Cross via its DeeDa page. All proceeds will directly support international disaster relief, as well as local humanitarian work that uplifts the nation’s vulnerable and enhances community resilience. Donations above the base price will be applicable for 2.5x tax deduction.</p><p><br></p><p><em style=""background-color: transparent;"">*Figurine availability is on a first-come, first-served basis.</em></p><p><em style=""background-color: transparent;"">*Please indicate your 3 favourite figurines, in order of preference, in the ‘Additional Information’ box.&nbsp;Kindly view images and details of the figurines available here: </em><a href=""https://www.lifesavingfigurines.com/"" target=""_blank"">https://www.lifesavingfigurines.com/</a></p><p><em style=""background-color: transparent;"">*If none of your desired figurines are available, we will reach out to you via email within 1-2 business days.</em></p><p><br></p><p>For donations via cheque / bank transfer or enquires to this fundraising campaign, please reach out to events@redcross.sg</p><p><br></p><p><strong>Figurines Available:</strong></p><p>Contingent Commander</p><p>The Chief – Commands the Operation Lionheart Contingent</p><p><br></p><p>Deputy Commander (ORNS)</p><p>The Right Hand – Commands on-site search and rescue operations</p><p><br></p><p>Deputy Commander (DART)</p><p>The Left Hand – Commands on-site search and rescue operations</p><p><br></p><p>Operations Officer</p><p>The Sentinel – Oversees operational safety and security throughout the mission</p><p><br></p><p>Logistics Officer</p><p>The Quartermaster – Ensures that all administrative items, personal protective equipment, and rescue tools are ready to augment the rescue mission</p><p><br></p><p>Rescue Engineer</p><p>The Overwatch – Assesses rescue sites for structural hazards to forewarn any impending collapses</p><p><br></p><p>Communications Officer</p><p>The Techie – Ensures that mission-critical communications are always up and running</p><p><br></p><p>Technician</p><p>The Handyman – Repairs and maintains vehicles and equipment to ensure that they’re mission-ready</p><p><br></p><p>Media Officer</p><p>The Raconteur – Tells the story of the contingent and its mission through photos, videos, and media interviews</p><p><br></p><p>EBSC Officer</p><p>The Confidant –&nbsp;Cares for rescuers’ psyche and strengthens team resiliency</p><p><br></p><p>Hazmat Specialist</p><p>The Scout – Inspects rescue sites for hazardous materials and gases before rescue teams are deployed</p><p><br></p><p>USAR Coordinator</p><p>The Fixer – Strategises with other international rescue teams to ensure a well-coordinated rescue operation</p><p><br></p><p>Medical Doctor <strong>*RESERVED*</strong></p><p>The Healer – Oversees the health of rescuers and supervises the treatment of casualties</p><p><br></p><p>Paramedic <strong>*RESERVED*</strong></p><p>The Lifesaver – Stabilises casualties at the rescue site before they are taken to the hospital</p><p><br></p><p>K9 Search Specialist <strong>*RESERVED*</strong></p><p>The Beastmaster – Works with search canines to locate trapped survivors</p><p><br></p><p>Platoon Commander</p><p>The Strategist – Leads rescue missions and formulates strategies for the rescue operation, with safety at the forefront</p><p><br></p><p>Deputy Platoon Commander</p><p>The Tactician – Co-leads rescue missions and ensures that the tactical plan is falling into place</p><p><br></p><p>Section Commander</p><p>The Executor – Leads a section of rescuers in executing the tactical plan while ensuring operational effectiveness and safety</p><p><br></p><p>Rescuer</p><p>The Specialist | The backbone of the contingent, the rescuer operates specialised USAR equipment to rescue trapped victims</p><p><br></p><p>Community Volunteer</p><p>The Lionhearted – Supports the humanitarian relief operations back home with dedication and compassion</p>"
Singapore Red Cross Society,Box It Forward with DHL,"<p class=""ql-align-justify"">DHL, Ten Square, Singapore Red Cross and Mini Fanatics Club are coming together for Box-it-forward, a charity event on 15 September 2024 that will benefit 150 low-income family units in Singapore. We are expecting 150-200 attendees who will fill up a total of 150 boxes with household essentials and together, we’ll deliver forth a charitable moment of kindness.</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify"">As the Singapore Red Cross marks our 75th year of serving humanity, our work in providing assistance and support to those within our community – the isolated elderly, persons with severe disabilities, and families-in-need; remains at the core of what we do.</p><p><br></p><p class=""ql-align-justify""><strong>Finding Joy in Golden Years</strong></p><p class=""ql-align-justify"">At 92 years old, Mdm Ang Chio Tee has overcome a lifetime of challenges with remarkable resilience. As Mdm Ang has never had the opportunity to go to school, she has difficulties reading and writing. She was compelled to get married at the young age of 18, and eventually had four children.</p><p><br></p><p class=""ql-align-justify"">She had to unwillingly abandon the marital home with two of her four children, and eke out a living as a seamstress. As her children got older, she had to juggle two jobs, working day and night to maintain their livelihoods.</p><p><br></p><p class=""ql-align-justify"">Today, she lives with her son in their flat and she often finds herself feeling lonely when he is&nbsp;out at work.</p><p><br></p><p class=""ql-align-justify""><strong>The Precious Gift of Friendship</strong></p><p class=""ql-align-justify"">Mdm Ang chanced upon the Singapore Red Cross’ (SRC) ElderAid programme, when a SRC team member happened to be in the vicinity. Since then, our volunteers have been visiting her regularly on weekdays, bringing her joy and the precious gift of friendship.</p><p><br></p><p class=""ql-align-justify"">Mdm Linda Lum, a Community Befriender with the ElderAid programme, is one of the volunteers who would often visit Mdm Ang to ensure that she has a listening ear and a shoulder to lean on. Mdm Lum would also frequently be accompanied by other younger volunteers from the Red Cross Youth.</p><p><br></p><p class=""ql-align-justify"">""Mdm Ang enjoyed our visits. She is happy to befriend the students and forged a good rapport. Mdm Ang taught them to make Lunar New Year honeycomb, by cooking and frying dough,"" said Mdm Lum.</p>"
Singapore Red Cross Society,Together for Humanity - Grateful Hearts Day 2024,"<p><span style=""color: rgb(60, 64, 72);"">Singapore Red Cross is organising Grateful Hearts Day 2024, Together for Humanity, our annual signature fundraiser, from 8 May to 31 July 2024. </span></p><p><br></p><p><span style=""color: rgb(60, 64, 72);"">Your partnership can translate directly to social good and make a tangible impact in the community. By supporting the Singapore Red Cross, you uplift the lives of the persons with severe disabilities, the elderly living alone, children and families-in-need. </span></p><p><br></p><p><span style=""color: rgb(60, 64, 72);"">The theme for this year’s Grateful Hearts Day, 'Together for Humanity', underscores the impact we make today and in the future when we band together in unity to brighten and touch the lives of the vulnerable in our midst. </span></p><p><br></p><p><span style=""color: rgb(60, 64, 72);"">Join us in bringing help and hope to the vulnerable!</span></p>"
Singapore Red Cross Society,International Bazaar 2023 - One World United in Humanity,"<p>Join us to eat, play, shop for a good cause!</p><p><br></p><p>The Singapore Red Cross' (SRC) signature fundraising event makes a triumphant return on 18 November at Ngee Ann City Civic Plaza after an extended hiatus due to the COVID pandemic. Featuring over 80 booths and representing 16 countries, the International Bazaar is a collaborative effort between SRC, embassies, local/international brands, schools and civic groups and aims to raise funds in support of SRC's local humanitarian services.</p><p><br></p><p>Your contribution goes a long way to uplifting the lives of the vulnerable in the community:</p><p><br></p><p>As a single mother, Mdm Tan Gek Hong juggled three jobs to support her children. She was later diagnosed with diabetes, cardiovascular disease and kidney failure, further hampering her mobility. Today, she walks with the aid of a walking frame and is mostly confined at home, where she lives with her son with special needs.</p><p><br></p><p>Mdm Tan's social worker consequently introduced her to SRC's Community Befriending service, where she eagerly looks forward to fortnightly visits from volunteers.</p><p><br></p><p>""I appreciate their listening ear and enjoy interacting with them. Their concern and sincerity warms my heart and I feel cared for,"" says Mdm Tan.</p><p><br></p><p>Your contribution enables SRC to train volunteers in befriending, Standard First Aid, and Psychological First Aid, to better care for isolated seniors like Mdm Tan.</p><p><br></p><p>Your donation is 2.5 times tax-deductible and will be automatically included in your tax assessment.</p><p><br></p><p>To find out how you can contribute further, please visit <a href=""https://redcross.sg/internationalbazaar"" target=""_blank"">redcross.sg/internationalbazaar</a> or email <a href=""mailto:events@redcross.sg"" target=""_blank"">events@redcross.sg</a></p>"
Singapore Red Cross Society,Be Our Champion for Humanity,"<p class=""ql-align-justify""><span style=""background-color: transparent;"">As the Singapore Red Cross marks our 75th year of serving humanity, our work in providing assistance and support to those within our community – the isolated elderly, persons with severe disabilities, and families-in-need; remains at the core of what we do.</span></p><p><br></p><p class=""ql-align-justify""><strong style=""background-color: transparent;"">Finding Joy in Golden Years</strong></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">At 92 years old, Mdm Ang Chio Tee has overcome a lifetime of challenges with remarkable resilience. As Mdm Ang has never had the opportunity to go to school, she has difficulties reading and writing. She was compelled to get married at the young age of 18, and eventually had four children.</span></p><p><br></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">She had to unwillingly abandon the marital home with two of her four children, and eke out a living as a seamstress. As her children got older, she had to juggle two jobs, working day and night to maintain their livelihoods.</span></p><p><br></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">Today, she lives with her son in their flat and she often finds herself feeling lonely when he is&nbsp; out at work.</span></p><p><br></p><p class=""ql-align-justify""><strong style=""background-color: transparent;"">The Precious Gift of Friendship</strong></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">Mdm Ang chanced upon the Singapore Red Cross’ (SRC) ElderAid programme, when a SRC team member happened to be in the vicinity. Since then, our volunteers have been visiting her regularly on weekdays, bringing her joy and the precious gift of friendship.</span></p><p><br></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">Mdm Linda Lum, a Community Befriender with the ElderAid programme, is one of the volunteers who would often visit Mdm Ang to ensure that she has a listening ear and a shoulder to lean on. Mdm Lum would also frequently be accompanied by other younger volunteers from the Red Cross Youth.</span></p><p><br></p><p class=""ql-align-justify""><span style=""background-color: transparent;"">""Mdm Ang enjoyed our visits. She is happy to befriend the students and forged a good rapport. Mdm Ang taught them to make Lunar New Year honeycomb, by cooking and frying dough,"" said Mdm Lum.</span></p><p><br></p><p><deeda-img src=""https://img-shuiyin.deeda.care/selfUpload/1718961014946-5031153395896906-Champion2024KV1.png!cf_mtr_new""></p>"
Singapore Red Cross Society,Championing Humanity with Project Red Blood Cells (RBC),"<p><strong>Project Red Blood Cells (RBC)</strong>, a student-initiated Youth For Causes project from Nan Hua High School, is dedicated to raising funds for the Singapore Red Cross. Our mission, encapsulated by our team name, RBC: Reaching Beyond Compassion, symbolises our commitment to going above and beyond to make a difference. As we celebrate the 75th anniversary of the Singapore Red Cross, we strive to be champions of humanity. Together, we aim to extend our compassion beyond limits and positively impact lives in need.&nbsp;</p><p><br></p><p><strong>Your Gift, Their Future:</strong></p><p>Your contribution has the power to transform lives. Your generosity will go a long way in supporting our cause and creating lasting change.&nbsp;This is how your gift will impact the lives of others:</p><p><br></p><p>• $50 – Your gift will go towards supporting an elderly with befriending and social activities for over 2 months.</p><p>• $120 – Your gift will support 1 beneficiary with a medical chaperone and a trip to/from their life-sustaining appointments.</p><p>• $250 – Your gift will provide one month's worth of tuition fees for a child, covering English, Maths and Science.</p><p>• $500 – Your gift enables a family of 4 to purchase nutritious food with supermarket vouchers for 8 weeks.</p>"
Singapore Red Cross Society,Sustainable Christmas Market 2024 by Peace of Art,"<p><strong>Sustainable Christmas Market 2024 • 16-17 Nov 2024, South Beach</strong></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">Despite Singapore's prosperity, 23,900 children live in public rental housing, grappling with the adversities of cramped living conditions, turbulent family dynamics, and restricted opportunities. The Sustainable Christmas Market (SCM) is a catalyst for change that provides academic and mentorship support for these children to break the poverty cycle, giving every child a chance, regardless of background, thus creating a sustainable and inclusive future for Singapore.</span></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">Through SCM, we have grown the Singapore Red Cross’ Young Hearts programme physical presence, providing professional tuition, customised curriculum, nutritious meals, and a safe afterschool haven to children from low income families living in public rental flats. The aim is to expand the reach of the programme to provide underprivileged and at-risk children from public rental flats across Singapore with opportunities beyond their reach.&nbsp;</span></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">Spanning 30,000 square feet, SCM is a celebration of Singapore's vibrant culture and commitment to environmental and social sustainability with the themes of ""Generation for Green"" and ""Kampung Kinship."" This event not only enriches and showcases local culture but also supports businesses, entrepreneurs, the community, and underprivileged children.&nbsp;</span></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">At its heart, SCM is a movement that democratises philanthropy, providing every Singaporean with an opportunity to advocate for sustainability and contribute to the welfare of underprivileged children, embodying the true spirit of community and shared responsibility, in other words, the ""Kampung Spirit”. It also allows the littlest to be givers and changemakers through the KIDSforKIDS initiative, uniting children across the nation to empower their less fortunate peers through creativity and sustainability.</span></p><p><br></p><p><br></p><p><strong style=""color: rgb(51, 51, 51);"">The program includes:</strong></p><p><strong>Comprehensive Educational Support</strong></p><p>•⁠&nbsp;⁠Education for children aged 7 to 16 to enhance literacy and confidence.</p><p>•⁠&nbsp;⁠Planned curriculum, reading, and tutoring programs conducted by professional tutors and volunteers.</p><p>•⁠&nbsp;⁠Education and access to technology.</p><p><strong>Mentorship and Development:</strong></p><p>•⁠&nbsp;⁠Mentorship provided by volunteers who serve as positive role models, offering guidance, mentorship, and motivation.</p><p>•⁠&nbsp;⁠Enrichment through targeted programs and personal development workshops with partners to nurture students' character development, skills, and abilities.</p><p><strong>Nutritional and Safe Environment:</strong></p><p>•⁠&nbsp;⁠Nutritional meals provided for children.</p><p>•⁠&nbsp;⁠Afterschool safe haven.</p><p><strong>Enrichment Activities:</strong></p><p>•⁠&nbsp;⁠Holiday enrichment programs aimed at boosting confidence and self-motivation.</p><p>•⁠&nbsp;⁠Activities include obstacle courses, outings, movies, team sports with friendly competition, learning journeys, and camps.</p><p><br></p><p><br></p><p><strong style=""color: rgb(51, 51, 51);"">ORGANISER</strong></p><p><span style=""color: rgb(51, 51, 51);"">Peace of Art is a unique not-for-profit organisation with the mission to embed The Art of Sustainable Living into the cultural fabric of our nation, and bolster the support for underprivileged children to foster a Sustainable Future for Singapore, through community engagement and corporate involvement.</span></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">Distinguishing itself from other philanthropic fundraisers, Peace of Art maintains a 100% Impact policy — we give 100% of what we raise — ensuring every donation received will reach the underprivileged individuals we serve. We are committed to operating without any compensation from the donated funds, through the dedicated volunteerism of business leaders and professionals, families and children.</span></p>"
Singapore Red Cross Society,The Sustainable Christmas Market 2023 by Peace of Art,"<p><strong>The Sustainable Christmas Market is back for another run this 11th and 12th November at South Beach!</strong></p><p><br></p><p>From the highly anticipated pre-loved luxury bazaar, captivating performances, to a variety of arts and craft workshops and a Fit and Fab class to exercise and get active, there will be something for everyone.</p><p><br></p><p>This year, the Sustainable Christmas Market is on a mission to raise over $200,000 for the expansion of Young Hearts, an inspiring initiative by Singapore Red Cross.</p><p><br></p><p>Proceeds from the Sustainable Christmas Market provides underprivileged children with academic support and invaluable mentorship. Let us empower these young hearts and break the chains of poverty. Together, we can transform lives and make dreams come true.</p><p><br></p><p><em>All local donations are eligible for 250% tax deduction.</em></p>"
Singapore Red Cross Society,70 Years of Serving Humanity - Singapore Red Cross Benefit Gala 2019,"<p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Dear Friend,</span></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">&nbsp;</span></p><p><span style=""background-color: transparent;"">Over the past 70 years, the Singapore Red Cross (SRC) has served Singapore and beyond its shores with one mission - </span><strong style=""background-color: transparent;"">relieving human suffering, protecting lives and dignity and responding to emergencies</strong><span style=""background-color: transparent;"">. As an independent humanitarian organisation and a member of the International Federation of Red Cross and Red Crescent Societies (IFRC), SRC has a significant place in the history of Singapore - from supporting the authorities in responding to major local disasters in the early days, to caring for the vulnerable and building community resilience in recent years.</span></p><p><br></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">To commemorate our 70th anniversary this year, we are organising the Singapore Red Cross Benefit Gala on </span><strong style=""background-color: transparent; color: rgb(0, 0, 0);"">19 October 2019, Saturday, at the Shangri-la Hotel Island Ballroom</strong><span style=""background-color: transparent; color: rgb(0, 0, 0);"">. President Halimah Yacob, the Patron of the Singapore Red Cross, will be gracing the event as the Guest-of-Honour.</span></p><p><span style=""background-color: transparent;"">&nbsp;</span></p><p><span style=""background-color: transparent;"">Please join us for this meaningful event by making a generous donation of </span><strong style=""background-color: transparent;"">S$5,000</strong><span style=""background-color: transparent;"">, which reserves you a table for </span><strong style=""background-color: transparent;"">10</strong><span style=""background-color: transparent;""> </span><strong style=""background-color: transparent;"">guests</strong><span style=""background-color: transparent;"">. Your donation will go a long way in supporting our local humanitarian services, such as:</span></p><p><br></p><p><strong style=""background-color: transparent;"">TransportAid</strong><span style=""background-color: transparent;""> – Subsidised transport for the financially challenged, disabled and the elderly to get to and from their life-sustaining medical treatments.</span></p><p><span style=""background-color: transparent;"">&nbsp;</span></p><p><img src=""https://deeda-1254024480.cos.ap-singapore.myqcloud.com/deeda-care/89692394-1b55-40ae-beaa-d5dac948d37f/15662943981530-03566303065567511.jpeg""></p><p><br></p><p><strong style=""background-color: transparent;"">FoodAid</strong><span style=""background-color: transparent;""> – Monthly provisions of nutritious food for the most disadvantaged in our society, delivered by volunteer befrienders.</span></p><p><br></p><p><img src=""https://deeda-1254024480.cos.ap-singapore.myqcloud.com/deeda-care/89692394-1b55-40ae-beaa-d5dac948d37f/15662944831430-49578597531137847.jpeg""></p><p><br></p><p><strong style=""background-color: transparent;"">Red Cross Home for the Disabled</strong><span style=""background-color: transparent;""> – Singapore’s only residential home for the severely disabled, which provides long-term residential, respite and day care services to individuals with severe and multiple disabilities.</span></p><p><br></p><p><img src=""https://deeda-1254024480.cos.ap-singapore.myqcloud.com/deeda-care/89692394-1b55-40ae-beaa-d5dac948d37f/15662945080670-18282042820075883.jpeg""></p><p><br></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">If you are unable to attend the event, you can still support our cause by participating in our Raffle Draw </span><a href=""https://deeda.care/de/case?caseid=29d31493-9668-4c33-8a47-4d8f1b122df3"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);"">here</a>.</p><p><br></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">In view of SRC’s IPC status, your donation will also qualify for 2.5x tax exemption. As always, 100% of your donation made on Deeda will go directly to SRC. We do not take any fees.&nbsp;</span></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">﻿</span></p><p><span style=""background-color: transparent; color: rgb(0, 0, 0);"">Thank you in advance for your generosity. Your contribution will transform the lives of the most vulnerable in our community.</span></p><p class=""ql-align-justify"">&nbsp;</p><p class=""ql-align-justify""><span style=""background-color: transparent;"">If you require further details, please contact the Singapore Red Cross Secretariat, Vinnce Wu and Amy Distant at 6664 0507 or pd.redcross.sg. Thank you.</span></p><p><br></p><p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">*Please ensure that the email address you entered is correct. After payment confirmation, you will receive an email from Red Cross Singapore and Deeda. You'll need to keep these emails for your reservation*</em></p>"
