charity_name,campaign_name,donations_count,donation_amount,comments_count
Singapore Red Cross Society,You're The Difference Between An Empty Stomach And a Filled One,47,1591,10
Singapore Red Cross Society,SCDF OPERATION LIONHEART PRESENTS: THE LIFE-SAVING FIGURINES,16,15775,11
Singapore Red Cross Society,Box It Forward with DHL,73,4808,25
Singapore Red Cross Society,Together for Humanity - Grateful Hearts Day 2024,2,115,0
Singapore Red Cross Society,International Bazaar 2023 - One World United in Humanity,124,10536,1
Singapore Red Cross Society,Be Our Champion for Humanity,175,13837.05,6
Singapore Red Cross Society,Championing Humanity with Project Red Blood Cells (RBC),29,2346,4
Singapore Red Cross Society,Sustainable Christmas Market 2024 by Peace of Art,56,19750,15
Singapore Red Cross Society,The Sustainable Christmas Market 2023 by Peace of Art,110,25343,36
Singapore Red Cross Society,70 Years of Serving Humanity - Singapore Red Cross Benefit Gala 2019,33,64100,0
Singapore Red Cross Society,Be Our Champion for Humanity,304,23261,96
Singapore Red Cross Society,Blue Star 2019,56,17308,16
Singapore Red Cross Society,BlueStar 2020 - Be a BlueStar Walker,349,49310,155
Singapore Red Cross Society,Gift your unused petrol spend to feed a hungry family today #wegiveinsolidarity,6,374,1
Singapore Red Cross Society,Raya for Humanity,78,8793,30
Singapore Red Cross Society,Sustainable Kids Market 2024 by Peace of Art,55,28381,11
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (June) - Men In Black International,6,2120,2
Singapore Red Cross Society,Blue Star 2019 - Be an Event Sponsor,1,3000,1
Singapore Red Cross Society,Blue Star 2019 - Be a Blue Walker,32,11820,6
Singapore Red Cross Society,Blue Star 2019 - Drive in the Car Rally,22,1565,10
Singapore Red Cross Society,Soiree Cinematic Movie Fundraiser (July) – Spider-Man: Far From Home,11,480,4
Singapore Red Cross Society,Be our GLADiator for Desolate Seniors. Help Defeat Loneliness in 2020.,3,576,1
Singapore Red Cross Society,Gaza Relief Fund Football Tournament,144,20097.1,63
Singapore Red Cross Society,2019 Novel Coronavirus Response,25,2150,12
Singapore Red Cross Society,georges Silver Jubilee Fund Raising,14,1390,6
Singapore Red Cross Society,Centre of Excellence in Pandemic Preparedness,2,11,1
Singapore Red Cross Society, Auction - Singapore Red Cross International Bazaar 2023,3,6198,0
Singapore Red Cross Society,Grateful Hearts Day with Global Tots Preschool,0,0,0
Singapore Red Cross Society,BlueStar 2020,0,0,0
Singapore Red Cross Society,Blue Star 2020 - Be an Event Sponsor,1,50,1
Singapore Red Cross Society,Can You Help Our Local Elderly During This COVID-19 Situation?,141,9169,41
Singapore Red Cross Society,Aura Drapes - Sustainable Kids Market 2024 ,28,514,2
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED][SUN 26 MAY, 12:15PM] Decoupage Bag Duet!",11,1560,4
Singapore Red Cross Society,(DM) Brightening Days With Love,62,14385,27
Singapore Red Cross Society,"[SUN 26 MAY, 5PM] Crochet Craze: Let's Get Hooked!",12,285,5
Singapore Red Cross Society,"[SUN 26 MAY, 6PM] Crochet Craze: Let's Get Hooked!",7,167,2
Singapore Red Cross Society,"[SUN 26 MAY, 11AM]  Eco-Coasters: Transforming Waste Plastic into Magic",2,150,0
Singapore Red Cross Society,"[SAT 25 MAY, 11AM] Chinese Culture Quest! ",2,100,2
Singapore Red Cross Society,"[SAT 25 MAY, 12PM] Chinese Culture Quest!",2,300,0
Singapore Red Cross Society,"[SAT 25 MAY, 1PM] Chinese Culture Quest!",8,450,3
Singapore Red Cross Society,"[WORKSHOP FULLY BOOKED] [SAT 25 MAY, 11AM] Build My Own Ocean: DIY Sensory Bottles",2,90,1
Singapore Red Cross Society,"[SAT 25 MAY, 12PM] Build My Own Ocean: DIY Sensory Bottles",10,500,6
Singapore Red Cross Society,"[SAT 25 MAY, 6PM] Underwater Discovery: Marine Biodiversity & Me",3,120,0
Singapore Red Cross Society,"[SUN 26 MAY, 4PM] Oceanic Brew: Eco-friendly Whale Collage Workshop",5,250,2
Singapore Red Cross Society,"[SUN 26 MAY, 5PM] Oceanic Brew: Eco-friendly Whale Collage Workshop",4,250,0
Singapore Red Cross Society,"[SAT 25 MAY, 1PM] Fold & Shine! Earrings with Origami",1,80,0
Singapore Red Cross Society,"[SAT 25 MAY, 2PM] Fold & Shine! Earrings with Origami",3,320,1
Singapore Red Cross Society,"Lend a Hand for Humanity, SRC Grateful Hearts 2023",1,200,0
Singapore Red Cross Society,"[SAT 25 MAY, 3PM] Play, Learn & Make with EcoCasting!",10,600,4
