charity_name,campaign_name,Cleaned_Campaign_Description
Singapore Red Cross Society,You're The Difference Between An Empty Stomach And a Filled One,"“ monthly foodaid worth 250 singapore red cross benefit family lot enables u fresh food product child grow healthily ” safri bin sallehdear friend life deal bad hand easy plunge depth despair safri bin salleh 43.he used avid weightlifter also actively involved contact sport like soccer rock-climbing skydiving touch rugby.his active life came crashing two fall diagnosis bone marrow cancer.the turning pointin april 2013 safri dozed returning night shift wife woke ’ move paralysed neck.he diagnosed multiple myeloma cancer stage 3 bone marrow cancer “ organ gave way liver cirrhosis scarring liver heart ameroid diabetes high blood pressure acute kidney injury chronic gout joint inflamed swollen pain excruciating go dialysis bedridden doctor said go treatment six month live ” explained.yet let thought fear worry seep mind. “ wife worried told worry seek treatment determined get better ” said safri.since wife full-time caregiver family relies various financial assistance scheme various organisations.focusing dietsafri ’ cancer jolt blue reminded take care take care family decided put effort ensuring family balanced healthy diet. “ care body previously instead abused supplement took decided take better care health care ate take better care diet.the monthly foodaid worth 250 singapore red cross benefit family lot enables u fresh food product child grow healthily ” explained.safri hope life story inspire others facing challenging times. “ everyone problem important positive attitude see problem challenge whenever problem always solution matter big problem face problem.i faced problem one time debt medical condition ’ solve problem ask help.the world bad place good people come help red cross ” affirmed safri.many foodaid recipient like safri.how help gift dowith gift help people like safri child get rid food worry ’ able buy enjoy healthier food beneficiary foodaid.if divided 250 worth food voucher feed family four month mean le 9/day meals… probably lower cost large-sized cup premium coffee many u enjoy regularly.while ’ give little treat life ’ likely find enjoyable satisfying gift mere 3/day family like safri ’ s.if encourage 2 3 friend join monthly gifting together mean family four food worry month receive support.i ’ like ask help giving gift foodaid family gift 3/day help meal month.together 2 3 friend gifting 3 please per day help family meal month.you help support 40 familieswe ’ looking support 40 family next 1 month set modest goal 10,000 this.with generous help support singapore red cross hope benefit 40 family bring food table get rid food worry month least.on behalf safri beneficiary thank advance generous gifts.yours sincerely mr benjamin williamsecretary general/ceo singapore red crosshow contribution helps﻿for sake transparency well help realise impact contribution ’ like share donation help.s 25 gift family four foodaid voucher buy food 3 days 50 gift family four foodaid voucher buy food 6 days 100 gift family four foodaid voucher buy food 12 days 250 gift family four foodaid voucher buy food full monthyour generous donation help provide family sustenance security first world country like singapore nobody worry next meal coming from.﻿p.s please leave u best email address colleague least show appreciation thank kind donation"
Singapore Red Cross Society,SCDF OPERATION LIONHEART PRESENTS: THE LIFE-SAVING FIGURINES,"superman batman spider-man – every superhero get immortalised action figure singapore red cross ’ champion humanity paying tribute real-life superheroes operation lionheart immortalising own.introducing world ’ first action figure take action life-saving figurines.inspired unbreakable spirit operation lionheart ’ rescuer 20 life-saving figurine – also known “ unbreakables ” – save life using proceeds aid disaster victims.each life-saving figurine one kind world – one donating 5,000 singapore red cross via deeda page proceeds directly support international disaster relief well local humanitarian work uplift nation ’ vulnerable enhances community resilience donation base price applicable 2.5x tax deduction figurine availability first-come first-served basis please indicate 3 favourite figurine order preference ‘ additional information ’ box kindly view image detail figurine available http //www.lifesavingfigurines.com/ none desired figurine available reach via email within 1-2 business days.for donation via cheque bank transfer enquires fundraising campaign please reach event redcross.sgfigurines available contingent commanderthe chief – command operation lionheart contingentdeputy commander orns right hand – command on-site search rescue operationsdeputy commander dart left hand – command on-site search rescue operationsoperations officerthe sentinel – oversees operational safety security throughout missionlogistics officerthe quartermaster – ensures administrative item personal protective equipment rescue tool ready augment rescue missionrescue engineerthe overwatch – ass rescue site structural hazard forewarn impending collapsescommunications officerthe techie – ensures mission-critical communication always runningtechnicianthe handyman – repair maintains vehicle equipment ensure ’ mission-readymedia officerthe raconteur – tell story contingent mission photo video medium interviewsebsc officerthe confidant – care rescuer ’ psyche strengthens team resiliencyhazmat specialistthe scout – inspects rescue site hazardous material gas rescue team deployedusar coordinatorthe fixer – strategises international rescue team ensure well-coordinated rescue operationmedical doctor reserved healer – oversees health rescuer supervises treatment casualtiesparamedic reserved lifesaver – stabilises casualty rescue site taken hospitalk9 search specialist reserved beastmaster – work search canine locate trapped survivorsplatoon commanderthe strategist – lead rescue mission formulates strategy rescue operation safety forefrontdeputy platoon commanderthe tactician – co-leads rescue mission ensures tactical plan falling placesection commanderthe executor – lead section rescuer executing tactical plan ensuring operational effectiveness safetyrescuerthe specialist backbone contingent rescuer operates specialised usar equipment rescue trapped victimscommunity volunteerthe lionhearted – support humanitarian relief operation back home dedication compassion"
Singapore Red Cross Society,Box It Forward with DHL,dhl ten square singapore red cross mini fanatic club coming together box-it-forward charity event 15 september 2024 benefit 150 low-income family unit singapore expecting 150-200 attendee fill total 150 box household essential together ’ deliver forth charitable moment kindness.as singapore red cross mark 75th year serving humanity work providing assistance support within community – isolated elderly person severe disability families-in-need remains core do.finding joy golden yearsat 92 year old mdm ang chio tee overcome lifetime challenge remarkable resilience mdm ang never opportunity go school difficulty reading writing compelled get married young age 18 eventually four children.she unwillingly abandon marital home two four child eke living seamstress child got older juggle two job working day night maintain livelihoods.today life son flat often find feeling lonely work.the precious gift friendshipmdm ang chanced upon singapore red cross ’ src elderaid programme src team member happened vicinity since volunteer visiting regularly weekday bringing joy precious gift friendship.mdm linda lum community befriender elderaid programme one volunteer would often visit mdm ang ensure listening ear shoulder lean mdm lum would also frequently accompanied younger volunteer red cross youth `` mdm ang enjoyed visit happy befriend student forged good rapport mdm ang taught make lunar new year honeycomb cooking frying dough '' said mdm lum
Singapore Red Cross Society,Together for Humanity - Grateful Hearts Day 2024,singapore red cross organising grateful heart day 2024 together humanity annual signature fundraiser 8 may 31 july 2024 partnership translate directly social good make tangible impact community supporting singapore red cross uplift life person severe disability elderly living alone child families-in-need theme year ’ grateful heart day 'together humanity underscore impact make today future band together unity brighten touch life vulnerable midst join u bringing help hope vulnerable
Singapore Red Cross Society,International Bazaar 2023 - One World United in Humanity,join u eat play shop good cause singapore red cross src signature fundraising event make triumphant return 18 november ngee ann city civic plaza extended hiatus due covid pandemic featuring 80 booth representing 16 country international bazaar collaborative effort src embassy local/international brand school civic group aim raise fund support src 's local humanitarian services.your contribution go long way uplifting life vulnerable community single mother mdm tan gek hong juggled three job support child later diagnosed diabetes cardiovascular disease kidney failure hampering mobility today walk aid walking frame mostly confined home life son special needs.mdm tan 's social worker consequently introduced src 's community befriending service eagerly look forward fortnightly visit volunteer `` appreciate listening ear enjoy interacting concern sincerity warms heart feel cared '' say mdm tan.your contribution enables src train volunteer befriending standard first aid psychological first aid better care isolated senior like mdm tan.your donation 2.5 time tax-deductible automatically included tax assessment.to find contribute please visit redcross.sg/internationalbazaar email event redcross.sg
Singapore Red Cross Society,Be Our Champion for Humanity,singapore red cross mark 75th year serving humanity work providing assistance support within community – isolated elderly person severe disability families-in-need remains core do.finding joy golden yearsat 92 year old mdm ang chio tee overcome lifetime challenge remarkable resilience mdm ang never opportunity go school difficulty reading writing compelled get married young age 18 eventually four children.she unwillingly abandon marital home two four child eke living seamstress child got older juggle two job working day night maintain livelihoods.today life son flat often find feeling lonely work.the precious gift friendshipmdm ang chanced upon singapore red cross ’ src elderaid programme src team member happened vicinity since volunteer visiting regularly weekday bringing joy precious gift friendship.mdm linda lum community befriender elderaid programme one volunteer would often visit mdm ang ensure listening ear shoulder lean mdm lum would also frequently accompanied younger volunteer red cross youth `` mdm ang enjoyed visit happy befriend student forged good rapport mdm ang taught make lunar new year honeycomb cooking frying dough '' said mdm lum
Singapore Red Cross Society,Championing Humanity with Project Red Blood Cells (RBC),project red blood cell rbc student-initiated youth cause project nan hua high school dedicated raising fund singapore red cross mission encapsulated team name rbc reaching beyond compassion symbolises commitment going beyond make difference celebrate 75th anniversary singapore red cross strive champion humanity together aim extend compassion beyond limit positively impact life need gift future contribution power transform life generosity go long way supporting cause creating lasting change gift impact life others • 50 – gift go towards supporting elderly befriending social activity 2 months.• 120 – gift support 1 beneficiary medical chaperone trip to/from life-sustaining appointments.• 250 – gift provide one month 's worth tuition fee child covering english math science.• 500 – gift enables family 4 purchase nutritious food supermarket voucher 8 week
Singapore Red Cross Society,Sustainable Christmas Market 2024 by Peace of Art,"sustainable christmas market 2024 • 16-17 nov 2024 south beachdespite singapore 's prosperity 23,900 child live public rental housing grappling adversity cramped living condition turbulent family dynamic restricted opportunity sustainable christmas market scm catalyst change provides academic mentorship support child break poverty cycle giving every child chance regardless background thus creating sustainable inclusive future singapore.through scm grown singapore red cross ’ young heart programme physical presence providing professional tuition customised curriculum nutritious meal safe afterschool child low income family living public rental flat aim expand reach programme provide underprivileged at-risk child public rental flat across singapore opportunity beyond reach spanning 30,000 square foot scm celebration singapore 's vibrant culture commitment environmental social sustainability theme `` generation green '' `` kampung kinship '' event enriches showcase local culture also support business entrepreneur community underprivileged child heart scm movement democratises philanthropy providing every singaporean opportunity advocate sustainability contribute welfare underprivileged child embodying true spirit community shared responsibility word `` kampung spirit ” also allows littlest giver changemakers kidsforkids initiative uniting child across nation empower le fortunate peer creativity sustainability.the program includes comprehensive educational support•⁠ ⁠education child aged 7 16 enhance literacy confidence.•⁠ ⁠planned curriculum reading tutoring program conducted professional tutor volunteers.•⁠ ⁠education access technology.mentorship development •⁠ ⁠mentorship provided volunteer serve positive role model offering guidance mentorship motivation.•⁠ ⁠enrichment targeted program personal development workshop partner nurture student character development skill abilities.nutritional safe environment •⁠ ⁠nutritional meal provided children.•⁠ ⁠afterschool safe haven.enrichment activity •⁠ ⁠holiday enrichment program aimed boosting confidence self-motivation.•⁠ ⁠activities include obstacle course outing movie team sport friendly competition learning journey camps.organiserpeace art unique not-for-profit organisation mission embed art sustainable living cultural fabric nation bolster support underprivileged child foster sustainable future singapore community engagement corporate involvement.distinguishing philanthropic fundraiser peace art maintains 100 impact policy — give 100 raise — ensuring every donation received reach underprivileged individual serve committed operating without compensation donated fund dedicated volunteerism business leader professional family child"
Singapore Red Cross Society,The Sustainable Christmas Market 2023 by Peace of Art,"sustainable christmas market back another run 11th 12th november south beach highly anticipated pre-loved luxury bazaar captivating performance variety art craft workshop fit fab class exercise get active something everyone.this year sustainable christmas market mission raise 200,000 expansion young heart inspiring initiative singapore red cross.proceeds sustainable christmas market provides underprivileged child academic support invaluable mentorship let u empower young heart break chain poverty together transform life make dream come true.all local donation eligible 250 tax deduction"
Singapore Red Cross Society,70 Years of Serving Humanity - Singapore Red Cross Benefit Gala 2019,"dear friend past 70 year singapore red cross src served singapore beyond shore one mission relieving human suffering protecting life dignity responding emergency independent humanitarian organisation member international federation red cross red crescent society ifrc src significant place history singapore supporting authority responding major local disaster early day caring vulnerable building community resilience recent years.to commemorate 70th anniversary year organising singapore red cross benefit gala 19 october 2019 saturday shangri-la hotel island ballroom president halimah yacob patron singapore red cross gracing event guest-of-honour please join u meaningful event making generous donation 5,000 reserve table 10 guest donation go long way supporting local humanitarian service transportaid – subsidised transport financially challenged disabled elderly get life-sustaining medical treatment foodaid – monthly provision nutritious food disadvantaged society delivered volunteer befrienders.red cross home disabled – singapore ’ residential home severely disabled provides long-term residential respite day care service individual severe multiple disabilities.if unable attend event still support cause participating raffle draw here.in view src ’ ipc status donation also qualify 2.5x tax exemption always 100 donation made deeda go directly src take fee ﻿thank advance generosity contribution transform life vulnerable community require detail please contact singapore red cross secretariat vinnce wu amy distant 6664 0507 pd.redcross.sg thank please ensure email address entered correct payment confirmation receive email red cross singapore deeda 'll need keep email reservation"
