"CampaignId","CampaignTitle","CharityName","AboutCampaign","AboutCharity"
"3701156","365 is the code you need to GIFT help ","Children-At-Risk Empowerment Association (CARE Singapore)","What struggles lie behind the face?  CARE Singapore works with many youths struggling with mental health issues with suicide cases for the below 18 on the rise. We need you to address these urgent issues and help.  Hear4U provides support via a helpline since 2020 and have supported over 30,000 youths in Singapore since 1997 with counselling and support.  Would you help us to do more?","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749727","You can HELP","Children-At-Risk Empowerment Association (CARE Singapore)","You alone have the power to decide what your donation can do.   It can help many people or help one child change their life, one step at a time.  CARE Singapore has been working to support over 1500 each year, would you help us with one child for today?","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749688","LKH's Inaugural Virtual Fundraising Flag Day","Ling Kwang Home for Senior Citizens","I am Edwin and have been totally blind since birth. I am thankful to God for making me a blessing to the senior citizens at Ling Kwang Home (LKH) as I advocate for them. It’s the combined effort that makes it more meaningful and I believe that our hearts will be blessed when we support and give to those who are in need. In my quest to support those who need help, I am giving my service to Ling Kwang Home. I believe in Ling Kwang Home's loving attitude towards the elderly under their care as the team runs good and meaningful activities and programmes for them.  Thus, I invite you to give to LKH’s Inaugural Virtual Flag Day which is fundraising for the nursing home’s General Funds where donations will be used to help defray their cost (all costs, including direct operating and other costs).  The Enhanced Fundraising Programme of the Ministry of Culture, Community & Youth (MCCY) has been granted to LKH for this Virtual Flag Day event, whereby your donations will be matched dollar-for-dollar by MCCY. With LKH’s IPC status, you will also enjoy 250% tax exemption for the donated amount.  Please join me to bless LKH. Your love and sharing, in any amount are much appreciated. Thank you so much for your generosity. ","Ling Kwang Home for Senior Citizens (LKHSC) is a non-profit organisation which was first established in 1983. We have 350-beds, run by full-time professionals providing residential nursing care, day care as well as Integrated Home and Day Care (IHDC) services to the elderly regardless of their race or religion.  We are having a A&A Plus currently and will have 400-beds in the Year 2026, with a male dementia ward.    At LKHSC, we believe in holistic care.  Our model of care encompasses not just meeting medical and functional needs. It also includes catering for the psychosocial, pastoral and spiritual well-being of our residents and clients.  Our residents and clients are cared for by multi-disciplinary teams that include nurses, medical doctors, allied healthcare professionals and ancillary staff.  Any amount from your generous donation and support will help us better our care and services for our elderly residents and clients.  Please donate to help us help those in need.  The LKHSC corporate slogan is: 'We love to serve and serve with love', and we sincerely hope that you will support us in doing what we love by giving generously! "
"3749675","Help families...","Children-At-Risk Empowerment Association (CARE Singapore)","$365 or $1 a day can allow support for students in need Donate $100 to fund one counselling session Donate $50 to allow us to continue providing services for families in need  Do or do not. There is no IF -  It is a labour of love to nurture our children as they grow up and we will find the funds needed.  As COVID becomes a distant memory and deal with the scourge of world unrest, let's work together to make sure food, love and support reaches those who need it.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"2405227","Help use music to heal..","Children-At-Risk Empowerment Association (CARE Singapore)","Supporting samba masala...  Samba Masala is collaborating with Care Singapore to bring you Samba Streetz 2024!!   We’re gonna be hitting the streets of Singapore, where we’ll be performing to raise money for charity. CARE Singapore’s programmes help vulnerable youths at risk find hope and success and promote mental wellness for all!   Join us this summer as we hit the streets of Singapore where we’ll be performing all 8 pieces from our repertoire to raise money for CARE.   All donation proceeds will go towards helping CARE cover the operating costs of their programmes so that they may continue helping more young people just like us!    --  27 July 2024 @ in front of Cineleisure  4 August 2024 @ along The Mist Walk  Campaign open till end Dec so please support","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749742","Old and forgotten?","Children-At-Risk Empowerment Association (CARE Singapore)","If u are old, would you want to be forgotten? My ah ma starts forgetting things but lucky she rems me..   As the festival of light ends, I wonder if light is ahead for us to exit this fundraising doldrums… sooner better than later   Or would we perish in the folly of sticking with the national platform as we try to help more people   Funding for 2023/2024  Help those who are emotionally affected get timely help and have volunteers look out for them  WhatsApp us at 6978 2728 and our trained counsellor will provide care and soothing support. Hear4U has provided over 16000 hours to help persons in need since we started  We have been funding this ourselves and are trying to raise the funds for Hear4U helplines to continue providing help to those in need.  ----Towards a more united society ---","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749728","Help them please. Show love today","Children-At-Risk Empowerment Association (CARE Singapore)","I am 13 years old so I need big people like you to help us.  Let's help them and their children get back to normal life?  Like Penguins in winter, we need to help each other so that children can grow up into a better world.  Dear adults, would you help us so that we can be there to build a better world for you when you are OLD.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749740","OLD and useless? No, they are our loved ones","Children-At-Risk Empowerment Association (CARE Singapore)","$365 or $1 a day can help us deploy volunteer training for those who are helping Donate $100 to fund one counselling session Donate $50 to allow us to continue providing services in the community  This is raising funds to expand a service we currently have, supporting the families of children and youths who have elderly parents or grandparents.  We offer support to them via our helpline and hope to provide solace to the living after their loved ones passes on.  Coping with the emotions of not having someone anymore","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749709","R we alone?","Children-At-Risk Empowerment Association (CARE Singapore)","The feeling of loneliness is painful and hurts for those who feel no hope.  Our work centers around helping those who are growing up needing a comforting mentor","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
"3749704","Help those in need","Children-At-Risk Empowerment Association (CARE Singapore)","People with no hope suffer more than death.  Give them a chance of surviving and thriving.","Established in 1997, Children-At-Risk Empowerment Association (CARE Singapore) is a boutique charity that focuses on helping at-risk youths succeed in life.  In 2010, NCSS recognized this and appointed CARE as a Centre of Specialisation for Youth Empowerment so that they can help raise service quality in the youth sector.   CARE's work is a social investment that has impacted well over 30,000 youths.  Our greatest achievement is in changed lives; affirmed by positive feedback from parents, teachers and principals as well as the many success stories we hear of our youths years after they graduated from our programmes.  Your donation will help us continue to impact and change young lives for good!"
